run_id,benchmark,method,noise_type,noise_rate,seed,task,gate_mean,gate_on_correct,gate_on_wrong,gate_separation,corr_gate_correct,buffer_purity,admission_rate
cifar10n_taskil__c10n_worse__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,0,3,0.17660371583053155,0.19696948974369427,0.1376213755795698,0.05934811416412447,0.12876669388572726,0.656,0.1746842105263158
cifar10n_taskil__c10n_worse__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,0,4,0.17049353241332268,0.18610914356771335,0.14535411445597943,0.040755029111733926,0.09453811191220238,0.662,0.1708421052631579
cifar10n_taskil__c10n_worse__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:worse,0.393,1,0,0.09691323546712335,0.09963675706556731,0.0921502248939187,0.007486532171648602,0.02972344041732342,0.674,0.09615789473684211
cifar10n_taskil__c10n_worse__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:worse,0.393,1,1,0.07362215062191611,0.07243205676664151,0.07513940629372694,-0.0027073495270854286,-0.01433781312563901,0.596,0.0718421052631579
cifar10n_taskil__c10n_worse__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:worse,0.393,1,2,0.07135394545566094,0.07252925329265829,0.06995894379646245,0.002570309496195841,0.023558931104934712,0.566,0.07126315789473685
cifar10n_taskil__c10n_worse__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:worse,0.393,1,3,0.08971912120321864,0.09529444023616508,0.0787633756877908,0.01653106454837429,0.08101538518383802,0.576,0.08889473684210526
cifar10n_taskil__c10n_worse__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:worse,0.393,1,4,0.1476690020355347,0.15866854693987478,0.12850235854748715,0.030166188392387633,0.08475656746618014,0.614,0.14994736842105263
cifar10n_taskil__c10n_worse__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:worse,0.402,2,0,0.1569822718506973,0.16977574148153435,0.1366049004627156,0.03317084101881876,0.08576028231080747,0.684,0.15742105263157893
cifar10n_taskil__c10n_worse__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:worse,0.402,2,1,0.1180871420708534,0.12110743743314413,0.11410235785751865,0.007005079575625475,0.02171148816717726,0.632,0.11905263157894737
cifar10n_taskil__c10n_worse__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:worse,0.402,2,2,0.0818714608377532,0.08369600164896106,0.07995395982977395,0.0037420418191871085,0.022825370450003307,0.608,0.0851578947368421
cifar10n_taskil__c10n_worse__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:worse,0.402,2,3,0.19732623520513115,0.22136025983979954,0.14645106232360866,0.07490919751619088,0.1544993070428558,0.672,0.19473684210526315
cifar10n_taskil__c10n_worse__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:worse,0.402,2,4,0.14088439125763744,0.1542143972279063,0.11953886143449054,0.03467553579341577,0.09958909713147018,0.678,0.14163157894736841
cifar10n_taskil__c10n_worse__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:worse,0.389,3,0,0.14865425141449823,0.1599204893217061,0.12972035949143662,0.030200129830269484,0.08026729214038428,0.676,0.14963157894736842
cifar10n_taskil__c10n_worse__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:worse,0.389,3,1,0.0889465233091461,0.09093691959889431,0.08628417236646124,0.0046527472324330715,0.018433066060251805,0.64,0.09136842105263158
cifar10n_taskil__c10n_worse__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:worse,0.389,3,2,0.0704838939756155,0.07195109398783864,0.06872461247947757,0.003226481508361065,0.021542250928987587,0.592,0.06857894736842106
cifar10n_taskil__c10n_worse__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:worse,0.389,3,3,0.13111082930196272,0.1431699129732391,0.10640441397544527,0.03676549899779384,0.10604464779883443,0.648,0.12852631578947368
cifar10n_taskil__c10n_worse__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:worse,0.389,3,4,0.15154544470067086,0.16472886617577234,0.12823629507627815,0.03649257109949419,0.09775843532070555,0.67,0.15073684210526317
cifar10n_taskil__c10n_worse__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,4,0,0.1787543329739649,0.18884061793182413,0.1625742508540657,0.026266367077758423,0.05918428782654949,0.676,0.18194736842105264
cifar10n_taskil__c10n_worse__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,4,1,0.11630877677566911,0.12196547540208735,0.108807141182946,0.013158334219141352,0.04433820388404277,0.64,0.11652631578947369
cifar10n_taskil__c10n_worse__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,4,2,0.08449484408548788,0.0863575619302032,0.08227642274090533,0.0040811391892978804,0.02403117628461259,0.624,0.08152631578947368
cifar10n_taskil__c10n_worse__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,4,3,0.18455882139190247,0.20638826733156607,0.143239748322186,0.06314851900938007,0.13496085464922028,0.692,0.1871578947368421
